Row	Hour	Genotype	Condition	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
G	48	G090	STANDARD	1.39E+04	1.53E+04	1.29E+04	1.50E+04	1.08E+04	1.15E+04	1.23E+04	8.42E+03	1.06E+04	1.54E+04	6.80E+03	2.11E+04
H	48	G090	STANDARD	8.28E+03	1.08E+04	1.09E+04	1.93E+04	1.23E+04	3.84E+03	1.20E+04	8.91E+03	1.55E+04	1.77E+04	2.12E+04	1.31E+04
A	54	G130	STANDARD	-5.38E+02	6.46E+03	8.37E+05	5.78E+05	5.59E+03	6.08E+06	1.57E+06	1.22E+06	7.73E+05	1.40E+04	2.17E+03	-3.86E+03
B	54	G130	STANDARD	7.45E+05	3.18E+05	1.46E+06	2.03E+03	6.71E+03	1.42E+06	6.30E+03	4.51E+03	3.14E+03	-6.57E+02	5.23E+03	-8.70E+02
C	54	G130	STANDARD	8.55E+03	5.86E+03	1.56E+04	2.24E+04	3.01E+06	5.62E+05	7.08E+03	-1.51E+03	2.49E+05	1.38E+04	2.41E+06	4.55E+05
D	54	G130	STANDARD	-2.35E+03	2.40E+04	1.19E+07	1.16E+06	1.63E+04	7.62E+02	3.31E+03	4.58E+02	1.35E+06	2.41E+06	2.16E+06	1.54E+04
E	54	EMPTY	NONE	-4.92E+02	5.55E+03	3.49E+04	1.21E+04	1.50E+03	2.19E+03	-1.54E+03	1.20E+03	7.84E+03	4.91E+03	8.21E+02	4.39E+03
F	54	EMPTY	NONE	-6.43E+02	1.86E+03	3.89E+03	1.73E+03	1.16E+02	-2.27E+03	-1.20E+03	1.26E+03	1.38E+03	-2.54E+03	-2.63E+03	-4.34E+01
G	54	EMPTY	NONE	-3.40E+03	-3.23E+03	-1.35E+03	-5.56E+02	-1.96E+03	-8.21E+02	-6.06E+03	-2.37E+03	-5.72E+03	-5.11E+03	-3.95E+03	-3.75E+03
H	54	EMPTY	NONE	-2.52E+03	-5.20E+03	-6.20E+03	-3.98E+03	-2.73E+03	-6.13E+03	-3.60E+02	-2.97E+03	-5.55E+03	-3.44E+03	-1.89E+03	-6.67E+03
A	54	G130	AMP	2.83E+04	9.68E+04	2.09E+06	5.96E+05	4.80E+05	1.35E+07	1.24E+07	1.13E+07	1.74E+07	6.31E+05	1.51E+04	1.79E+05
B	54	G130	AMP	2.68E+05	2.25E+07	3.50E+06	4.22E+04	2.26E+07	4.92E+06	4.68E+04	2.59E+06	3.18E+04	2.39E+04	1.48E+04	4.25E+06
C	54	G130	AMP	1.63E+04	3.55E+04	1.18E+06	3.93E+04	3.41E+06	2.92E+04	1.40E+05	2.66E+04	2.80E+04	1.61E+06	6.85E+05	3.75E+04
D	54	G130	AMP	3.23E+04	2.54E+05	8.47E+05	7.84E+05	1.57E+04	9.16E+03	1.85E+04	4.38E+06	1.96E+05	2.64E+07	6.94E+05	9.54E+03
E	54	EMPTY	NONE	7.88E+03	1.09E+04	1.36E+04	1.52E+04	1.71E+04	1.77E+04	1.86E+04	1.83E+04	1.51E+04	1.34E+04	1.04E+04	1.01E+04
F	54	G090	STANDARD	-2.80E+03	-8.03E+02	3.15E+02	-9.54E+02	-1.39E+03	6.16E+03	-1.15E+03	4.35E+03	1.71E+03	-1.52E+03	-1.61E+03	-1.70E+03
G	54	G090	STANDARD	-3.08E+03	-7.84E+02	-8.90E+02	-5.28E+02	-1.02E+03	-9.05E+02	-1.90E+03	-2.53E+03	-7.09E+02	-1.29E+03	-2.73E+03	-1.87E+03
H	54	G090	STANDARD	-3.13E+03	-3.08E+03	3.13E+01	-1.26E+03	-2.81E+03	-2.57E+03	1.43E+03	5.00E+03	-2.72E+02	-1.61E+03	-4.35E+02	-2.09E+03
